-BEGIN HEADER-,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,,
Location: Latitude  51.4919   Longitude 10.8757 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 357.57 meters,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
PS        MERRA-2 Surface Pressure (kPa) ,,,,,,,,
T2M       MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) ,,,,,,,,
Message(s): ,,,,,,,,
Corrected Wind Speed has a custom surface implemented: Airport: flat rough grass (airportgrass) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,HR,PS,T2M,WS10M,WS50M,WSC
2021,1,4,19,98.27,2.19,6.39,9.78,9.62
2021,1,4,20,98.37,1.21,5.67,9.21,8.62
2021,1,4,21,98.46,0.55,5.26,8.5,8.09
2021,1,4,22,98.55,-0.38,4.7,7.47,7.38
2021,1,4,23,98.63,-0.63,4.42,7.06,6.99
2021,1,5,0,98.68,-0.6,4.22,6.42,6.78
2021,1,5,1,98.74,-0.67,4.14,6.03,6.71
2021,1,5,2,98.8,-0.8,3.94,5.79,6.42
2021,1,5,3,98.86,-0.88,3.86,5.91,6.27
2021,1,5,4,98.91,-1.02,3.55,5.71,5.79
2021,1,5,5,98.94,-1.22,3.2,5.34,5.27
2021,1,5,6,98.97,-1.48,2.95,4.66,4.96
2021,1,5,7,99,-1.68,2.91,4.04,5
2021,1,5,8,99.04,-1.86,2.7,3.75,4.69
2021,1,5,9,99.05,-1.33,3.09,3.73,5.38
2021,1,5,10,99.06,-0.24,3.13,3.73,5.45
2021,1,5,11,99.07,1.19,3.21,3.83,5.57
2021,1,5,12,99.05,2.16,3.23,3.9,5.58
2021,1,5,13,99.01,2.41,3.07,4.02,5.27
2021,1,5,14,98.99,2,2.48,4.39,4.22
2021,1,5,15,98.99,1.46,2.56,5.17,4.24
2021,1,5,16,98.98,1.34,3.02,6.08,4.88
2021,1,5,17,98.97,1.34,3.27,6.54,5.23
2021,1,5,18,98.95,1.23,3.25,6.37,5.22
2021,1,5,19,98.96,1.39,3.57,6.28,5.75
2021,1,5,20,98.95,1.37,3.9,5.98,6.33
2021,1,5,21,98.94,1.24,3.95,5.93,6.41
2021,1,5,22,98.91,1.18,3.78,5.64,6.19
2021,1,5,23,98.89,1.13,3.99,5.96,6.48
2021,1,6,0,98.85,1.03,4.31,6.27,6.94
2021,1,6,1,98.81,0.85,4.41,6.34,7.09
2021,1,6,2,98.78,0.67,4.37,6.4,7.01
2021,1,6,3,98.75,0.49,4.25,6.35,6.83
2021,1,6,4,98.71,0.38,4.01,6.17,6.47
2021,1,6,5,98.67,0.17,3.74,6.03,6.05
2021,1,6,6,98.64,0.05,3.65,6.01,5.91
2021,1,6,7,98.6,-0.16,3.41,5.71,5.56
2021,1,6,8,98.58,-0.3,3.27,5.51,5.37
2021,1,6,9,98.56,0.42,3.59,5.1,5.96
2021,1,6,10,98.54,1.46,3.71,4.66,6.24
2021,1,6,11,98.47,2.38,3.8,4.71,6.38
2021,1,6,12,98.39,3.01,4.14,5.25,6.85
2021,1,6,13,98.32,3.11,4.28,5.61,7.01
2021,1,6,14,98.25,2.6,3.68,5.3,6.07
2021,1,6,15,98.22,1.07,2.68,5.26,4.43
2021,1,6,16,98.18,-0.24,2.86,5.92,4.65
2021,1,6,17,98.14,-0.28,3.27,6.41,5.24
2021,1,6,18,98.07,-0.31,3.88,6.91,6.16
2021,1,6,19,98,-1.08,4.11,7.21,6.47
2021,1,6,20,97.94,-1.35,4.5,7.3,7.08
2021,1,6,21,97.87,-1.51,5.04,7.1,7.97
2021,1,6,22,97.83,-1.7,5.36,7.26,8.44
2021,1,6,23,97.8,-2.05,5.3,7.15,8.37
2021,1,7,0,97.78,-2.32,5.38,7.13,8.5
2021,1,7,1,97.78,-2.32,5.47,7.33,8.61
2021,1,7,2,97.79,-2.35,5.02,6.75,8
2021,1,7,3,97.81,-2.07,5.09,6.79,8.1
2021,1,7,4,97.82,-1.68,5.06,6.73,8.06
2021,1,7,5,97.85,-1.05,5.08,6.85,8.07
2021,1,7,6,97.9,-0.37,5.1,7.06,8.07
2021,1,7,7,97.97,0.21,4.98,7.05,7.87
2021,1,7,8,98.03,0.7,4.67,7,7.39
2021,1,7,9,98.1,1.38,4.7,7.16,7.42
2021,1,7,10,98.17,2.04,4.36,6.64,6.96
2021,1,7,11,98.21,2.6,3.99,6.19,6.43
2021,1,7,12,98.23,3.15,3.86,5.79,6.29
2021,1,7,13,98.26,3.36,3.54,5.62,5.8
2021,1,7,14,98.32,3.22,3.41,6.02,5.52
2021,1,7,15,98.38,2.54,3,6.05,4.86
2021,1,7,16,98.42,1.78,3.05,6.28,4.92
2021,1,7,17,98.45,1.59,3.2,6.48,5.13
2021,1,7,18,98.43,1.37,3.39,6.65,5.4
2021,1,7,19,98.39,1.4,3.84,6.67,6.13
2021,1,7,20,98.35,1.66,4.79,6.89,7.6
2021,1,7,21,98.33,1.46,5.14,7.07,8.13
2021,1,7,22,98.3,1.17,5.27,7.14,8.31
2021,1,7,23,98.28,0.91,5.38,7.2,8.48
2021,1,8,0,98.26,0.87,5.76,7.97,8.95
2021,1,8,1,98.25,1.03,5.75,8.16,8.9
2021,1,8,2,98.21,1.23,5.77,8.34,8.9
2021,1,8,3,98.15,1.37,5.89,8.55,9.05
2021,1,8,4,98.1,1.51,6.21,8.95,9.48
2021,1,8,5,98.07,1.62,6.5,9.28,9.87
2021,1,8,6,98.07,1.79,6.71,9.42,10.16
2021,1,8,7,98.06,1.98,6.95,9.54,10.51
2021,1,8,8,98.05,2.14,6.98,9.56,10.55
2021,1,8,9,98.08,2.45,6.98,9.73,10.52
2021,1,8,10,98.1,3.18,7.68,10.48,11.45
2021,1,8,11,98.07,3.52,7.4,9.9,11.12
2021,1,8,12,98.04,3.8,7.09,9.33,10.75
2021,1,8,13,97.99,3.83,6.62,8.42,10.2
2021,1,8,14,97.98,3.76,6.13,8.06,9.51
2021,1,8,15,98,3.99,6.05,8.35,9.33
2021,1,8,16,98.03,4.01,5.61,8.16,8.69
2021,1,8,17,98.07,4.21,5.67,8.36,8.75
2021,1,8,18,98.09,4.48,5.36,7.97,8.33
2021,1,8,19,98.1,4.69,5.04,7.55,7.9
2021,1,8,20,98.12,4.69,4.47,6.7,7.13
2021,1,8,21,98.12,4.48,4.13,6.34,6.65
2021,1,8,22,98.11,4.26,4.02,6.45,6.45
2021,1,8,23,98.09,4.17,3.75,6.26,6.04
2021,1,9,0,98.05,3.99,3.56,6.03,5.76
2021,1,9,1,98.02,3.99,3.61,6.03,5.85
2021,1,9,2,97.98,3.87,3.42,5.86,5.56
2021,1,9,3,97.92,3.8,3.41,5.84,5.55
2021,1,9,4,97.84,3.8,3.48,5.94,5.64
2021,1,9,5,97.76,3.83,3.57,6.11,5.76
2021,1,9,6,97.68,3.89,3.86,6.46,6.19
2021,1,9,7,97.6,4.02,4.34,6.95,6.89
2021,1,9,8,97.55,4.25,4.85,7.44,7.61
2021,1,9,9,97.48,5.01,5.51,7.81,8.58
2021,1,9,10,97.44,5.75,6,8.49,9.24
2021,1,9,11,97.36,6.31,6.1,8.59,9.37
2021,1,9,12,97.27,6.75,6.23,8.76,9.54
2021,1,9,13,97.18,7.28,6.46,9.1,9.84
2021,1,9,14,97.12,7.68,6.45,9.22,9.81
2021,1,9,15,97.08,7.8,6.48,9.5,9.8
2021,1,9,16,97.06,7.74,6.47,9.61,9.77
2021,1,9,17,97.04,7.77,6.51,9.65,9.82
2021,1,9,18,97.03,7.8,6.58,9.67,9.92
2021,1,9,19,97.01,7.7,6.42,9.43,9.73
2021,1,9,20,97.01,7.58,6.29,9.26,9.55
2021,1,9,21,97,7.43,6.2,9.17,9.43
2021,1,9,22,96.98,7.23,5.99,8.87,9.15
2021,1,9,23,96.95,6.96,5.72,8.57,8.78
2021,1,10,0,96.92,6.7,5.52,8.35,8.52
2021,1,10,1,96.89,6.5,5.48,8.32,8.45
2021,1,10,2,96.87,6.4,5.73,8.58,8.8
2021,1,10,3,96.88,6.39,6.31,9.49,9.55
2021,1,10,4,96.89,6.33,6.74,9.76,10.16
2021,1,10,5,96.93,6,6.48,9.36,9.82
2021,1,10,6,96.97,5.87,6.41,9.25,9.74
2021,1,10,7,97.04,5.88,6.43,9.29,9.77
2021,1,10,8,97.12,5.91,6.3,9.18,9.58
2021,1,10,9,97.18,6.3,6.61,9.49,10
2021,1,10,10,97.23,6.79,7.18,9.73,10.82
2021,1,10,11,97.25,7.14,7.53,10.15,11.27
2021,1,10,12,97.25,7.19,7.19,9.64,10.86
2021,1,10,13,97.26,7.08,6.61,8.92,10.09
2021,1,10,14,97.3,6.82,5.88,8.05,9.12
2021,1,10,15,97.37,6.28,5.35,7.94,8.31
2021,1,10,16,97.47,5.24,5.08,8.34,7.84
2021,1,10,17,97.56,4.7,5.21,8.35,8.04
2021,1,10,18,97.67,4.65,5.83,8.8,8.92
2021,1,10,19,97.81,4.26,6.6,9.42,9.99
2021,1,10,20,97.96,3.4,6.62,9.26,10.06
2021,1,10,21,98.09,2.8,5.93,8.49,9.12
2021,1,10,22,98.19,2.52,5.49,8.03,8.52
2021,1,10,23,98.29,2.33,5.34,7.99,8.3
2021,1,11,0,98.35,2.19,5.18,7.52,8.11
2021,1,11,1,98.43,2.01,4.94,7.18,7.79
2021,1,11,2,98.5,1.91,4.82,6.86,7.65
2021,1,11,3,98.56,1.8,4.8,6.89,7.62
2021,1,11,4,98.6,1.68,4.38,6.58,7
2021,1,11,5,98.64,1.3,3.96,6.3,6.37
2021,1,11,6,98.7,0.82,3.6,5.83,5.86
2021,1,11,7,98.75,0.58,3.53,5.65,5.77
2021,1,11,8,98.78,0.42,3.18,4.68,5.35
2021,1,11,9,98.8,0.93,3.42,4.4,5.81
2021,1,11,10,98.82,1.81,3.66,4.44,6.2
2021,1,11,11,98.81,3,4.03,4.99,6.72
2021,1,11,12,98.77,3.9,4.65,5.91,7.56
2021,1,11,13,98.72,4.03,4.99,6.53,7.98
2021,1,11,14,98.67,3.63,4.94,6.98,7.82
2021,1,11,15,98.65,2.4,4.4,7.59,6.88
2021,1,11,16,98.63,1.2,4.35,8.13,6.74
2021,1,11,17,98.61,0.93,4.23,7.63,6.62
2021,1,11,18,98.57,0.57,4.23,7.64,6.61
2021,1,11,19,98.55,0.22,4.45,7.91,6.91
2021,1,11,20,98.52,-0.2,4.63,8.14,7.16
2021,1,11,21,98.49,-0.48,4.83,8.31,7.45
2021,1,11,22,98.44,-0.55,5.14,8.34,7.93
2021,1,11,23,98.38,-0.69,5.34,8.28,8.24
2021,1,12,0,98.3,-0.83,5.48,8.15,8.48
2021,1,12,1,98.23,-0.89,5.64,7.96,8.77
2021,1,12,2,98.19,-0.99,5.74,7.76,8.96
2021,1,12,3,98.14,-0.99,5.96,7.98,9.25
2021,1,12,4,98.1,-1.1,5.99,8.03,9.3
2021,1,12,5,98.07,-1.27,6.03,8.04,9.35
2021,1,12,6,98.04,-1.26,6.24,8.31,9.62
2021,1,12,7,98.01,-1.27,6.41,8.51,9.85
2021,1,12,8,97.98,-0.98,6.69,8.86,10.22
2021,1,12,9,97.96,-0.03,7.45,9.82,11.21
2021,1,12,10,97.94,0.83,8.09,10.56,12.04
2021,1,12,11,97.89,1.54,8.34,10.72,12.39
2021,1,12,12,97.81,2.16,8.52,11.04,12.6
2021,1,12,13,97.75,2.67,8.6,11.1,12.71
2021,1,12,14,97.71,2.76,8.14,10.56,12.11
2021,1,12,15,97.68,2.38,7.8,10.49,11.62
2021,1,12,16,97.68,2.02,7.82,10.64,11.63
2021,1,12,17,97.71,1.82,7.99,10.81,11.86
2021,1,12,18,97.74,1.82,8.03,10.8,11.91
2021,1,12,19,97.77,1.94,7.92,10.68,11.77
2021,1,12,20,97.79,2.03,7.72,10.43,11.52
2021,1,12,21,97.8,2.09,7.5,10.24,11.21
2021,1,12,22,97.81,2.17,7.38,10.23,11.04
2021,1,12,23,97.84,2.44,7.27,10.24,10.87
2021,1,13,0,97.86,2.92,7.06,10.02,10.59
2021,1,13,1,97.85,3.23,6.52,9.33,9.89
2021,1,13,2,97.85,3.19,5.89,8.59,9.04
2021,1,13,3,97.84,3.08,5.33,7.95,8.27
2021,1,13,4,97.83,2.92,4.84,7.43,7.6
2021,1,13,5,97.83,2.92,4.71,7.22,7.42
2021,1,13,6,97.82,2.91,4.64,7.15,7.33
2021,1,13,7,97.81,2.87,4.68,7.11,7.39
2021,1,13,8,97.82,3,4.93,7.19,7.77
2021,1,13,9,97.83,3.25,5.03,7.1,7.95
2021,1,13,10,97.82,3.6,5,6.81,7.95
2021,1,13,11,97.78,4.04,4.95,6.48,7.93
2021,1,13,12,97.7,4.51,4.86,6.33,7.81
2021,1,13,13,97.61,4.88,5.1,6.7,8.13
2021,1,13,14,97.54,4.56,4.43,5.99,7.18
2021,1,13,15,97.5,4.01,3.96,6.04,6.41
2021,1,13,16,97.47,3.48,4,6.52,6.41
2021,1,13,17,97.44,3.21,4.22,6.72,6.72
2021,1,13,18,97.41,3,4.28,6.63,6.83
2021,1,13,19,97.36,2.84,4.73,7.02,7.49
2021,1,13,20,97.31,2.65,5.11,7.64,7.99
2021,1,13,21,97.26,2.16,5.19,7.83,8.08
2021,1,13,22,97.22,1.76,5.46,7.56,8.55
2021,1,13,23,97.18,1.98,5.92,7.9,9.21
2021,1,14,0,97.11,2.32,6.4,8.71,9.82
2021,1,14,1,97.04,2.69,6.69,9.21,10.16
2021,1,14,2,96.99,3.1,6.75,9.51,10.21
2021,1,14,3,96.92,3.4,6.9,9.83,10.39
2021,1,14,4,96.85,3.58,7.18,10.3,10.73
2021,1,14,5,96.79,3.55,7.49,10.72,11.12
2021,1,14,6,96.79,3.21,7.7,11.04,11.38
2021,1,14,7,96.79,2.88,7.94,11.29,11.71
2021,1,14,8,96.79,3.01,8.15,11.33,12.01
2021,1,14,9,96.81,3.61,8.25,11.28,12.16
2021,1,14,10,96.83,4.32,8.42,11.51,12.38
2021,1,14,11,96.81,5.47,9.14,12.13,13.33
2021,1,14,12,96.8,6.31,9.02,11.91,13.19
2021,1,14,13,96.8,6.65,8.47,11.47,12.46
2021,1,14,14,96.81,6.51,8.17,11.43,12.02
2021,1,14,15,96.84,6.15,7.84,11.31,11.56
2021,1,14,16,96.86,5.81,7.88,11.57,11.57
2021,1,14,17,96.87,5.83,8.22,11.97,12.01
2021,1,14,18,96.88,6.01,8.64,12.44,12.54
2021,1,14,19,96.89,6.26,9.05,12.91,13.07
2021,1,14,20,96.9,6.44,9.31,13.22,13.4
2021,1,14,21,96.91,6.52,9.41,13.42,13.51
2021,1,14,22,96.93,6.55,9.44,13.48,13.55
2021,1,14,23,96.98,6.55,9.29,13.26,13.37
2021,1,15,0,97.01,6.49,9,12.85,13.02
2021,1,15,1,97.04,6.25,8.41,12,12.29
2021,1,15,2,97.07,5.77,7.4,10.71,10.99
2021,1,15,3,97.1,5.58,7.32,10.66,10.88
2021,1,15,4,97.13,5.76,7.43,10.78,11.02
2021,1,15,5,97.15,6.05,7.46,10.83,11.07
2021,1,15,6,97.17,6.07,7.35,10.87,10.89
2021,1,15,7,97.18,5.55,7.07,10.82,10.49
2021,1,15,8,97.22,5.15,7.02,10.63,10.45
2021,1,15,9,97.26,5.84,7.24,10.15,10.84
2021,1,15,10,97.28,6.87,7.38,9.82,11.11
2021,1,15,11,97.27,7.95,7.73,10.25,11.55
2021,1,15,12,97.25,8.8,7.97,10.54,11.87
2021,1,15,13,97.23,9.15,7.75,10.42,11.57
2021,1,15,14,97.22,8.92,7.42,10.44,11.06
2021,1,15,15,97.24,8.01,7.03,10.67,10.44
2021,1,15,16,97.28,6.9,6.89,10.93,10.21
2021,1,15,17,97.33,6.62,7.07,10.97,10.46
2021,1,15,18,97.38,6.65,7.19,10.99,10.65
2021,1,15,19,97.43,6.69,7.18,11.02,10.63
2021,1,15,20,97.49,6.57,7.02,10.92,10.4
2021,1,15,21,97.56,6.53,6.74,10.51,10.05
2021,1,15,22,97.63,6.69,6.44,9.9,9.68
2021,1,15,23,97.71,6.33,5.31,8.67,8.14
2021,1,16,0,97.83,6.03,4.56,7.98,7.08
2021,1,16,1,97.95,6.35,4.53,7.86,7.05
2021,1,16,2,98.06,6,3.9,7.5,6.11
2021,1,16,3,98.16,5.37,3.2,6.68,5.1
2021,1,16,4,98.23,3.33,2.67,5.27,4.41
2021,1,16,5,98.29,2.15,2.57,4.63,4.33
2021,1,16,6,98.34,1.66,2.63,4.69,4.43
2021,1,16,7,98.38,1.2,2.75,4.91,4.59
2021,1,16,8,98.44,1.22,2.77,5.03,4.61
2021,1,16,9,98.48,3.91,2.45,4.99,4.08
2021,1,16,10,98.51,6.51,2.94,4.07,5.06
2021,1,16,11,98.5,7.91,2.89,3.58,5.06
2021,1,16,12,98.47,9.13,3.58,4.72,6.01
2021,1,16,13,98.42,9.46,3.87,5.21,6.41
2021,1,16,14,98.39,9.08,3.38,5.23,5.58
2021,1,16,15,98.37,7.42,2.77,5.79,4.51
2021,1,16,16,98.35,5.4,3.24,6.73,5.16
2021,1,16,17,98.35,4.73,3.49,7.16,5.51
2021,1,16,18,98.35,4.01,3.54,7.22,5.58
2021,1,16,19,98.33,4.15,3.73,7.23,5.89
2021,1,16,20,98.3,4.41,4.24,7.21,6.68
2021,1,16,21,98.26,4.46,4.62,7.08,7.31
2021,1,16,22,98.22,4.62,4.97,7.03,7.86
2021,1,16,23,98.19,4.37,4.86,6.56,7.78
2021,1,17,0,98.15,4.15,4.78,6.31,7.69
2021,1,17,1,98.11,3.99,4.58,6.14,7.4
2021,1,17,2,98.06,3.29,3.76,5.61,6.16
2021,1,17,3,98.01,3.12,3.9,5.35,6.43
2021,1,17,4,97.94,2.54,3.47,5.35,5.71
2021,1,17,5,97.89,2.24,3.57,5.37,5.88
2021,1,17,6,97.82,2.21,4.13,5.61,6.76
2021,1,17,7,97.76,2.33,4.47,6.09,7.22
2021,1,17,8,97.7,2.19,4.5,6.11,7.28
2021,1,17,9,97.63,2.92,4.94,6.18,7.97
2021,1,17,10,97.56,4.16,4.92,6.07,7.96
2021,1,17,11,97.48,5.58,4.96,6.05,8.03
2021,1,17,12,97.4,6.65,5.01,6.18,8.09
2021,1,17,13,97.32,7.39,5.19,6.61,8.29
2021,1,17,14,97.27,7.36,5.05,6.72,8.04
2021,1,17,15,97.25,6.26,4.4,7.09,6.95
2021,1,17,16,97.26,4.65,4.46,7.96,6.94
2021,1,17,17,97.28,4.51,5.31,8.25,8.21
2021,1,17,18,97.29,4.51,5.28,7.96,8.21
2021,1,17,19,97.31,4.62,5.36,8.12,8.3
2021,1,17,20,97.34,4.94,5.77,8.57,8.86
2021,1,17,21,97.37,5.12,5.61,8.33,8.66
2021,1,17,22,97.42,4.98,5.29,7.94,8.22
2021,1,17,23,97.48,4.7,5.34,7.86,8.31
2021,1,18,0,97.54,4.36,5.51,7.9,8.57
2021,1,18,1,97.59,3.98,5.92,8.45,9.12
2021,1,18,2,97.66,3.46,5.88,8.55,9.03
2021,1,18,3,97.73,2.94,5.52,8.45,8.5
2021,1,18,4,97.8,2.55,4.94,7.98,7.67
2021,1,18,5,97.85,2.31,4.48,7.57,7.02
2021,1,18,6,97.9,1.89,3.96,7.19,6.25
2021,1,18,7,97.93,1.37,3.54,6.7,5.65
2021,1,18,8,97.96,1.26,3.95,6.8,6.28
2021,1,18,9,97.97,1.98,4.84,6.5,7.74
2021,1,18,10,97.99,2.55,5.34,6.84,8.48
2021,1,18,11,97.99,2.89,5.77,7.44,9.05
2021,1,18,12,97.97,3.14,6.23,8.12,9.65
2021,1,18,13,97.97,3.31,6.19,8.11,9.59
2021,1,18,14,97.98,3.26,5.54,7.31,8.72
2021,1,18,15,98,2.83,4.24,6.32,6.81
2021,1,18,16,98.03,1.8,3.58,6.61,5.72
2021,1,18,17,98.07,1.27,3.42,6.5,5.47
2021,1,18,18,98.1,1.16,3.44,6.47,5.51
2021,1,18,19,98.13,0.84,3.5,6.59,5.59
2021,1,18,20,98.16,0.48,3.27,6.21,5.27
2021,1,18,21,98.19,0.33,3.28,6.17,5.3
2021,1,18,22,98.23,0.33,3.44,5.81,5.6
2021,1,18,23,98.26,0.36,3.42,5.5,5.62
2021,1,19,0,98.28,0.32,3.37,5.25,5.58
2021,1,19,1,98.32,0.44,3.48,5.25,5.76
2021,1,19,2,98.37,0.49,3.64,5.25,6.01
2021,1,19,3,98.43,0.48,3.59,5.29,5.94
2021,1,19,4,98.48,0.4,3.78,5.57,6.19
2021,1,19,5,98.53,0.25,3.41,5.23,5.64
2021,1,19,6,98.6,0.14,3.28,5.18,5.44
2021,1,19,7,98.69,0.12,3.27,5.23,5.4
2021,1,19,8,98.79,0.22,3.2,5.11,5.32
2021,1,19,9,98.87,0.83,3.55,4.71,5.97
2021,1,19,10,98.95,1.37,3.53,4.49,5.98
2021,1,19,11,99,1.85,3.58,4.54,6.04
